date,county,state,fips,cases,deaths
Jan-20,Maricopa,Arizona,04013,1,0
Jan-20,Los Angeles,California,06037,1,0
Jan-20,Orange,California,06059,1,0
Jan-20,Santa Clara,California,06085,1,0
Jan-20,Cook,Illinois,17031,2,0
Jan-20,Snohomish,Washington,53061,1,0
Feb-20,Maricopa,Arizona,04013,1,0
Feb-20,Humboldt,California,06023,1,0
Feb-20,Los Angeles,California,06037,1,0
Feb-20,Marin,California,06041,1,0
Feb-20,Napa,California,06055,1,0
Feb-20,Orange,California,06059,1,0
Feb-20,Sacramento,California,06067,3,0
Feb-20,San Diego,California,06073,1,0
Feb-20,San Francisco,California,06075,3,0
Feb-20,Santa Clara,California,06085,4,0
Feb-20,Solano,California,06095,11,0
Feb-20,Sonoma,California,06097,1,0
Feb-20,Cook,Illinois,17031,3,0
Feb-20,Suffolk,Massachusetts,25025,1,0
Feb-20,Douglas,Nebraska,31055,13,0
Feb-20,Washington,Oregon,41067,1,0
Feb-20,Bexar,Texas,48029,11,0
Feb-20,Salt Lake,Utah,49035,1,0
Feb-20,King,Washington,53033,4,1
Feb-20,Snohomish,Washington,53061,2,0
Feb-20,Spokane,Washington,53063,4,0
Feb-20,Dane,Wisconsin,55025,1,0
Mar-20,Autauga,Alabama,01001,7,0
Mar-20,Baldwin,Alabama,01003,19,0
Mar-20,Bibb,Alabama,01007,3,0
Mar-20,Blount,Alabama,01009,5,0
Mar-20,Bullock,Alabama,01011,3,0
Mar-20,Butler,Alabama,01013,1,0
Mar-20,Calhoun,Alabama,01015,9,0
Mar-20,Chambers,Alabama,01017,36,4
Mar-20,Cherokee,Alabama,01019,2,0
Mar-20,Chilton,Alabama,01021,11,0
Mar-20,Choctaw,Alabama,01023,3,0
Mar-20,Clay,Alabama,01027,2,0
Mar-20,Cleburne,Alabama,01029,5,0
Mar-20,Colbert,Alabama,01033,4,0
Mar-20,Coosa,Alabama,01037,4,0
Mar-20,Covington,Alabama,01039,2,0
Mar-20,Crenshaw,Alabama,01041,1,0
Mar-20,Cullman,Alabama,01043,8,0
Mar-20,Dallas,Alabama,01047,2,0
Mar-20,DeKalb,Alabama,01049,4,0
