,Period,Labor_Force,Unemployment_Rate,Full_Fips,County,State,Preliminary_Unemp_Data,cases,deaths,Less_HS_Dip_pct,HS_Dipl_pct,Some_col_pct,Bach_plus_pct
0,Jan-20,25912,3.0,01001,Autauga County, AL,False,0.0,0.0,11.3,32.6,28.4,27.7
1,Jan-20,95316,3.1,01003,Baldwin County, AL,False,0.0,0.0,9.7,27.6,31.3,31.3
2,Jan-20,8509,3.8,01005,Barbour County, AL,False,0.0,0.0,27.0,35.7,25.1,12.2
3,Jan-20,8629,3.3,01007,Bibb County, AL,False,0.0,0.0,16.8,47.3,24.4,11.5
4,Jan-20,25098,3.0,01009,Blount County, AL,False,0.0,0.0,19.8,34.0,33.5,12.6
5,Jan-20,4674,4.2,01011,Bullock County, AL,False,0.0,0.0,24.8,39.7,22.3,13.3
6,Jan-20,9155,4.2,01013,Butler County, AL,False,0.0,0.0,15.4,43.9,24.6,16.1
7,Jan-20,46059,3.8,01015,Calhoun County, AL,False,0.0,0.0,15.9,32.4,33.7,18.0
8,Jan-20,15698,3.3,01017,Chambers County, AL,False,0.0,0.0,18.6,38.4,29.7,13.2
9,Jan-20,11373,3.4,01019,Cherokee County, AL,False,0.0,0.0,19.8,38.3,29.0,12.9
10,Jan-20,19591,2.9,01021,Chilton County, AL,False,0.0,0.0,17.8,44.1,24.0,14.2
11,Jan-20,4511,5.4,01023,Choctaw County, AL,False,0.0,0.0,18.6,38.2,30.2,13.0
12,Jan-20,7406,6.2,01025,Clarke County, AL,False,0.0,0.0,18.8,43.7,24.9,12.6
13,Jan-20,6065,3.3,01027,Clay County, AL,False,0.0,0.0,24.5,36.3,29.1,10.2
14,Jan-20,5682,3.4,01029,Cleburne County, AL,False,0.0,0.0,22.6,39.6,24.1,13.7
15,Jan-20,21004,3.1,01031,Coffee County, AL,False,0.0,0.0,13.8,27.9,34.9,23.4
16,Jan-20,23275,4.2,01033,Colbert County, AL,False,0.0,0.0,15.6,36.0,29.7,18.7
17,Jan-20,4440,4.3,01035,Conecuh County, AL,False,0.0,0.0,19.2,48.8,21.3,10.7
18,Jan-20,4452,3.5,01037,Coosa County, AL,False,0.0,0.0,20.4,38.6,29.5,11.6
19,Jan-20,15313,3.6,01039,Covington County, AL,False,0.0,0.0,17.1,35.4,32.5,14.9
20,Jan-20,6257,3.5,01041,Crenshaw County, AL,False,0.0,0.0,21.6,38.8,24.0,15.6
21,Jan-20,38433,2.8,01043,Cullman County, AL,False,0.0,0.0,18.2,35.6,32.4,13.7
22,Jan-20,20496,3.2,01045,Dale County, AL,False,0.0,0.0,14.2,32.7,36.1,17.0
23,Jan-20,14490,5.5,01047,Dallas County, AL,False,0.0,0.0,19.3,35.2,30.4,15.1
24,Jan-20,30600,3.2,01049,DeKalb County, AL,False,0.0,0.0,25.9,33.3,28.1,12.7
25,Jan-20,37258,3.0,01051,Elmore County, AL,False,0.0,0.0,13.6,32.8,29.0,24.5
26,Jan-20,14629,3.8,01053,Escambia County, AL,False,0.0,0.0,18.5,44.5,24.4,12.7
27,Jan-20,42809,4.2,01055,Etowah County, AL,False,0.0,0.0,15.5,32.9,33.9,17.7
28,Jan-20,6517,3.5,01057,Fayette County, AL,False,0.0,0.0,17.6,41.5,27.9,12.9
29,Jan-20,14531,3.1,01059,Franklin County, AL,False,0.0,0.0,23.2,36.8,27.1,12.9
30,Jan-20,10869,3.2,01061,Geneva County, AL,False,0.0,0.0,20.9,37.2,30.8,11.1
31,Jan-20,2848,5.9,01063,Greene County, AL,False,0.0,0.0,24.1,36.8,29.0,10.1
32,Jan-20,6055,4.3,01065,Hale County, AL,False,0.0,0.0,16.4,42.6,26.9,14.1
33,Jan-20,6878,3.8,01067,Henry County, AL,False,0.0,0.0,19.8,33.5,28.7,18.0
34,Jan-20,46058,3.2,01069,Houston County, AL,False,0.0,0.0,14.3,31.6,33.0,21.0
35,Jan-20,23006,3.7,01071,Jackson County, AL,False,0.0,0.0,17.5,40.8,27.5,14.2
36,Jan-20,317192,3.0,01073,Jefferson County, AL,False,0.0,0.0,10.3,26.8,30.6,32.4
37,Jan-20,5796,3.3,01075,Lamar County, AL,False,0.0,0.0,17.6,39.9,30.0,12.5
38,Jan-20,41767,3.5,01077,Lauderdale County, AL,False,0.0,0.0,12.6,36.0,27.5,23.9
39,Jan-20,14238,3.3,01079,Lawrence County, AL,False,0.0,0.0,21.0,41.5,25.8,11.7
40,Jan-20,76569,2.9,01081,Lee County, AL,False,0.0,0.0,9.5,24.1,32.3,34.1
41,Jan-20,43891,2.8,01083,Limestone County, AL,False,0.0,0.0,15.7,30.3,28.5,25.5
42,Jan-20,3523,5.6,01085,Lowndes County, AL,False,0.0,0.0,22.5,38.6,24.8,14.1
43,Jan-20,7761,4.3,01087,Macon County, AL,False,0.0,0.0,18.3,30.1,30.9,20.7
44,Jan-20,185774,2.7,01089,Madison County, AL,False,0.0,0.0,8.9,20.8,28.6,41.7
45,Jan-20,7580,4.0,01091,Marengo County, AL,False,0.0,0.0,16.2,39.8,28.6,15.4
46,Jan-20,12661,3.9,01093,Marion County, AL,False,0.0,0.0,20.3,34.8,31.7,13.1
47,Jan-20,43607,2.7,01095,Marshall County, AL,False,0.0,0.0,19.1,31.1,30.5,19.2
48,Jan-20,188015,4.0,01097,Mobile County, AL,False,0.0,0.0,13.8,33.5,29.8,22.9
49,Jan-20,7392,5.4,01099,Monroe County, AL,False,0.0,0.0,16.3,46.1,23.5,14.1
50,Jan-20,104878,3.3,01101,Montgomery County, AL,False,0.0,0.0,14.4,25.5,28.0,32.1
51,Jan-20,58214,2.8,01103,Morgan County, AL,False,0.0,0.0,16.7,29.6,32.0,21.7
52,Jan-20,3329,5.2,01105,Perry County, AL,False,0.0,0.0,21.9,39.4,22.9,15.7
53,Jan-20,7902,3.6,01107,Pickens County, AL,False,0.0,0.0,19.4,36.7,30.4,13.5
54,Jan-20,15361,3.5,01109,Pike County, AL,False,0.0,0.0,19.0,33.3,24.2,23.6
55,Jan-20,9530,3.3,01111,Randolph County, AL,False,0.0,0.0,21.2,36.3,27.5,14.9
56,Jan-20,23690,3.2,01113,Russell County, AL,False,0.0,0.0,16.7,32.3,34.5,16.5
57,Jan-20,40279,2.9,01115,St. Clair County, AL,False,0.0,0.0,15.2,36.0,32.3,16.5
58,Jan-20,115350,2.4,01117,Shelby County, AL,False,0.0,0.0,7.8,20.3,29.7,42.1
59,Jan-20,4709,4.4,01119,Sumter County, AL,False,0.0,0.0,15.8,37.8,24.6,21.8
60,Jan-20,35396,3.7,01121,Talladega County, AL,False,0.0,0.0,19.0,34.9,31.8,14.3
61,Jan-20,18248,3.4,01123,Tallapoosa County, AL,False,0.0,0.0,19.5,32.9,29.2,18.3
62,Jan-20,105582,2.8,01125,Tuscaloosa County, AL,False,0.0,0.0,11.6,29.9,28.3,30.3
63,Jan-20,25271,3.9,01127,Walker County, AL,False,0.0,0.0,19.1,37.1,32.2,11.6
64,Jan-20,6737,5.0,01129,Washington County, AL,False,0.0,0.0,19.6,43.2,26.1,11.1
65,Jan-20,2758,8.9,01131,Wilcox County, AL,False,0.0,0.0,23.1,40.3,24.1,12.5
66,Jan-20,10008,3.8,01133,Winston County, AL,False,0.0,0.0,21.9,37.4,27.3,13.5
67,Jan-20,1810,4.2,02013,Aleutians East Borough, AK,False,0.0,0.0,13.6,40.2,33.4,12.7
68,Jan-20,3963,3.4,02016,Aleutians West Census Area, AK,False,0.0,0.0,11.2,40.5,31.9,16.4
69,Jan-20,144538,5.1,02020,Anchorage Borough/municipality, AK,False,0.0,0.0,6.2,23.8,34.7,35.3
70,Jan-20,6866,12.8,02050,Bethel Census Area, AK,False,0.0,0.0,18.6,45.2,23.9,12.3
71,Jan-20,243,14.0,02060,Bristol Bay Borough, AK,False,0.0,0.0,5.6,34.9,37.2,22.3
72,Jan-20,547,19.7,02068,Denali Borough, AK,False,0.0,0.0,1.6,26.1,28.8,43.5
73,Jan-20,1765,8.7,02070,Dillingham Census Area, AK,False,0.0,0.0,12.7,39.2,28.8,19.3
74,Jan-20,43217,5.9,02090,Fairbanks North Star Borough, AK,False,0.0,0.0,5.5,22.3,39.7,32.6
75,Jan-20,889,16.0,02100,Haines Borough, AK,False,0.0,0.0,3.0,30.0,29.5,37.4
76,Jan-20,1046,16.1,02105,Hoonah-Angoon Census Area, AK,False,0.0,0.0,8.5,35.6,32.5,23.4
77,Jan-20,16310,4.7,02110,Juneau Borough/city, AK,False,0.0,0.0,3.9,20.4,36.2,39.5
78,Jan-20,25758,7.8,02122,Kenai Peninsula Borough, AK,False,0.0,0.0,7.2,32.2,37.3,23.3
79,Jan-20,6322,7.8,02130,Ketchikan Gateway Borough, AK,False,0.0,0.0,7.3,29.9,38.3,24.5
80,Jan-20,5744,7.6,02150,Kodiak Island Borough, AK,False,0.0,0.0,10.1,31.3,32.6,26.0
81,Jan-20,2642,18.4,02158,Kusilvak Census Area, AK,False,0.0,0.0,22.3,53.6,19.3,4.8
82,Jan-20,606,11.1,02164,Lake and Peninsula Borough, AK,False,0.0,0.0,14.5,41.9,27.9,15.8
83,Jan-20,46577,7.4,02170,Matanuska-Susitna Borough, AK,False,0.0,0.0,7.6,32.2,39.0,21.2
84,Jan-20,4137,10.2,02180,Nome Census Area, AK,False,0.0,0.0,15.9,42.9,26.6,14.6
85,Jan-20,3592,5.9,02185,North Slope Borough, AK,False,0.0,0.0,10.2,43.0,30.2,16.6
86,Jan-20,2828,13.5,02188,Northwest Arctic Borough, AK,False,0.0,0.0,18.1,47.3,22.8,11.7
87,Jan-20,1615,9.2,02195,Petersburg Borough, AK,False,0.0,0.0,10.3,31.9,30.3,27.6
88,Jan-20,3004,9.4,02198,Prince of Wales-Hyder Census Area, AK,False,0.0,0.0,9.8,37.3,35.3,17.6
89,Jan-20,4111,4.9,02220,Sitka Borough/city, AK,False,0.0,0.0,6.0,28.3,33.0,32.6
90,Jan-20,597,20.1,02230,Skagway Municipality, AK,False,0.0,0.0,6.3,23.4,36.6,33.7
91,Jan-20,2814,9.8,02240,Southeast Fairbanks Census Area, AK,False,0.0,0.0,9.8,32.6,38.5,19.1
92,Jan-20,4242,10.7,02261,Valdez-Cordova Census Area, AK,False,0.0,0.0,4.0,32.7,32.7,30.6
93,Jan-20,1036,8.0,02275,Wrangell Borough/city, AK,False,0.0,0.0,11.7,37.6,30.0,20.7
94,Jan-20,261,11.9,02282,Yakutat Borough/city, AK,False,0.0,0.0,8.2,38.4,33.5,20.0
95,Jan-20,2362,13.8,02290,Yukon-Koyukuk Census Area, AK,False,0.0,0.0,14.3,40.3,32.0,13.4
96,Jan-20,20785,11.0,04001,Apache County, AZ,False,0.0,0.0,20.4,33.1,34.8,11.7
97,Jan-20,51901,5.8,04003,Cochise County, AZ,False,0.0,0.0,12.8,23.5,40.7,23.0
98,Jan-20,77687,6.3,04005,Coconino County, AZ,False,0.0,0.0,10.4,21.4,32.6,35.6
99,Jan-20,21565,5.8,04007,Gila County, AZ,False,0.0,0.0,14.7,28.6,38.2,18.5
100,Jan-20,15417,5.0,04009,Graham County, AZ,False,0.0,0.0,14.4,29.9,40.5,15.3
101,Jan-20,4585,3.8,04011,Greenlee County, AZ,False,0.0,0.0,11.0,36.2,40.9,11.9
102,Jan-20,9751,6.0,04012,La Paz County, AZ,False,0.0,0.0,22.7,33.0,32.0,12.4
103,Jan-20,2360096,4.0,04013,Maricopa County, AZ,False,1.0,0.0,12.6,22.6,32.8,32.0
104,Jan-20,89027,5.9,04015,Mohave County, AZ,False,0.0,0.0,14.7,34.8,37.6,12.9
105,Jan-20,40989,8.1,04017,Navajo County, AZ,False,0.0,0.0,17.2,30.1,36.9,15.8
106,Jan-20,504206,4.5,04019,Pima County, AZ,False,0.0,0.0,11.7,22.5,34.0,31.9
107,Jan-20,192010,4.9,04021,Pinal County, AZ,False,0.0,0.0,14.6,29.7,36.8,19.0
108,Jan-20,20067,8.0,04023,Santa Cruz County, AZ,False,0.0,0.0,24.4,27.2,27.4,21.0
109,Jan-20,107379,4.5,04025,Yavapai County, AZ,False,0.0,0.0,9.7,25.7,39.4,25.2
110,Jan-20,100806,13.7,04027,Yuma County, AZ,False,0.0,0.0,27.9,25.9,31.4,14.8
